               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.030356,            0.020516,                   0,             0.57642,             0.49236,             0.50258,             0.20527,            0.051986,            0.022502,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.029852,             0.01998,                   0,             0.58912,             0.52764,             0.53337,             0.21098,            0.048077,            0.023873,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.029112,            0.019809,                   0,             0.58413,             0.52261,             0.51034,             0.21424,            0.050862,            0.024034,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.030526,            0.019513,                   0,             0.50876,             0.55276,             0.49103,             0.21096,            0.050198,            0.024814,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.030461,            0.020822,                   0,             0.59041,             0.57286,             0.54061,             0.24079,            0.048056,            0.023255,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.029131,            0.019436,                   0,             0.59852,             0.55779,             0.52222,             0.20699,            0.048855,             0.02284,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.028729,            0.019633,                   0,             0.52416,             0.58794,             0.53298,             0.21537,            0.049382,            0.023486,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.029235,            0.019754,                   0,             0.67929,             0.44703,             0.50495,             0.20826,            0.050925,            0.023932,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.027888,              0.0197,                   0,             0.46045,             0.51759,             0.44464,             0.20349,            0.048212,            0.023764,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.028494,            0.020398,                   0,             0.57258,             0.61307,             0.53783,             0.21479,            0.048406,            0.023173,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.027225,            0.018653,                   0,             0.50226,             0.52737,              0.4512,             0.18443,            0.049549,            0.026461,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.028182,            0.019854,                   0,             0.59264,             0.57754,             0.54253,             0.22381,            0.049057,            0.024621,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.027952,            0.019455,                   0,             0.61319,             0.55779,             0.54788,             0.23724,            0.048037,            0.023424,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.027789,            0.018685,                   0,             0.57208,             0.49749,             0.51007,             0.20433,            0.048723,             0.02447,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.027915,            0.019256,                   0,             0.52653,             0.54774,             0.49903,             0.21337,            0.051337,             0.02451,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.028073,            0.019108,                   0,             0.54454,             0.51759,             0.51043,             0.22228,            0.049125,            0.026323,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,             0.02798,            0.019058,                   0,             0.56638,             0.57789,             0.53749,             0.23557,            0.048115,            0.023777,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,             0.02733,            0.018735,                   0,             0.60602,             0.52764,             0.51736,             0.22359,            0.049121,            0.025154,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,             0.02787,              0.0186,                   0,             0.62577,             0.51256,             0.52607,             0.20743,             0.05182,            0.023078,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,             0.02703,            0.017983,                   0,             0.59431,             0.56784,             0.55454,              0.2343,            0.050965,            0.023807,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.027523,            0.019259,                   0,             0.56735,             0.52718,             0.50993,             0.23359,            0.048937,            0.025562,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.026693,            0.018075,                   0,             0.62564,             0.53769,             0.52863,             0.23318,            0.048985,            0.023422,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.026534,            0.018753,                   0,             0.62755,             0.51759,             0.53862,             0.21138,            0.049785,            0.024223,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.027083,            0.017641,                   0,             0.50479,             0.52761,             0.43883,             0.19692,            0.050244,            0.025375,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.026612,            0.019074,                   0,             0.56784,             0.58764,             0.52313,             0.22497,            0.049013,            0.026481,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.026799,            0.018662,                   0,             0.55747,             0.58291,             0.53183,             0.22282,            0.049913,            0.025169,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.026338,            0.018306,                   0,             0.56318,             0.60302,             0.55071,             0.23338,            0.049582,            0.024185,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.026834,            0.018434,                   0,             0.59294,             0.54271,              0.5351,             0.21166,            0.050385,            0.024424,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.026296,            0.018521,                   0,             0.59519,             0.50251,             0.52809,             0.21769,            0.052731,            0.025627,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,             0.02595,            0.017663,                   0,             0.62198,             0.52261,             0.55301,              0.2351,            0.048892,            0.024792,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,            0.026212,            0.017686,                   0,              0.5659,             0.57789,             0.55604,             0.24122,             0.04786,            0.024745,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.025262,            0.017637,                   0,             0.57295,             0.54774,             0.53938,             0.24427,             0.04877,             0.02611,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.025575,             0.01813,                   0,             0.55407,             0.48744,             0.50832,              0.2205,            0.052383,            0.025351,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.025881,            0.018389,                   0,              0.5445,             0.51759,              0.4772,             0.21589,            0.049516,            0.025433,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.025616,            0.018579,                   0,             0.50394,             0.56155,             0.49218,             0.20582,            0.051891,            0.026694,                   0,           0.0092971,           0.0092971,           0.0092971
